product_category; value; product_name; vendor; phone; customer_name; zip_code; city; street
truffaut; 14; VHS; lo-fi; (920)442-78-76; Олег Наумов; 434061; Ставрополь; Комарова улица, 301
paleo; 76; drinking; vegan; (910)469-15-22; Семён Кузьмин; 575077; Курск; пл. Крупской, 300
goth; 26; austin; tattooed; (931)047-86-49; Борис Кузнецов; 897910; Екатеринбург; Мира пр., 600
iPhone; 14; YOLO; butcher; (936)292-27-67; Боброва Татьяна; 135325; Барнаул; ул. Озерная, 317
chartreuse; 71; sustainable; kitsch; (964)334-39-70; Фролов Станислав Дмитриевич; 121531; Уфа; Северная площадь, 700
lo-fi; 61; park; carry; (936)062-12-19; Кондратьев Евгений Георгиевич; 209611; Владимир; Трудовая пр., 980
cleanse; 17; schlitz; park; (924)761-65-44; Горшков Валентин Даниилович; 860808; Белгород; проспект Свердлова, 536
helvetica; 99; celiac; occupy; (990)735-40-42; Осипов Сергей; 549984; Кемерово; Некрасова пр., 673
skateboard; 78; humblebrag; gluten-free; (916)668-60-42; Роман Гришин; 849119; Сочи; Мичурина улица, 200
twee; 55; try-hard; literally; (959)740-11-79; Раиса Савина; 701404; Кемерово; Мира пл., 877
cornhole; 8; pinterest; pug; (992)362-67-81; Пономарев Вадим Денисович; 718626; Екатеринбург; Рабочая площадь, 388
post-ironic; 40; semiotics; chambray; (923)502-72-18; Лихачев Николай; 995283; Владивосток; Трактовая ул., 127
waistcoat; 43; 90's; Thundercats; (944)625-55-32; Доронин Роман Константинович; 735109; Махачкала; проспект 8 Марта, 174
Thundercats; 40; tofu; loko; (953)424-98-31; Нина Анатольевна Гордеева; 319884; Тольятти; Коммунальная ул., 939
fixie; 31; mlkshk; cronut; (915)457-67-58; Баранова Оксана; 424958; Иваново; Железнодорожная ул., 639
crucifix; 72; poutine; lo-fi; (948)179-50-73; Галина Ярославовна Горбачева; 249550; Тольятти; ул. Зеленая, 840
literally; 53; cardigan; plaid; (932)180-16-18; Марина Денисовна Русакова; 394133; Брянск; речень улиц пл., 459
wolf; 20; poutine; meggings; (926)666-13-82; Артём Тихонов; 698380; Ульяновск; Горная проспект, 758
selfies; 64; pour-over; PBR&B; (912)669-35-00; Максим Семёнович Дьячков; 774174; Владивосток; пл. Механизаторов, 454
sartorial; 45; hammock; seitan; (958)503-71-59; Яковлева Анжела Степановна; 106549; Москва; Строителей пл., 242
try-hard; 52; mlkshk; crucifix; (995)118-79-04; Дьячков Иван; 688118; Ярославль; Строительная площадь, 331
microdosing; 4; yr; kitsch; (938)530-04-46; Альберт Орлов; 563711; Тула; площадь Пролетарская, 115
locavore; 490; cornhole; portland; (944)170-49-68; Любовь Харитонова; 673630; Санкт-Петербург; Космонавтов пл., 942
tousled; 6; +1; letterpress; (939)288-31-70; Коновалова Оксана Фёдоровна; 752220; Екатеринбург; пр. Солнечная, 102
narwhal; 51; everyday; mlkshk; (935)785-10-79; Людмила Беспалова; 224472; Пермь; Дружбы ул., 636
vinyl; 82; readymade; taxidermy; (984)470-56-69; Ларионова Вера Олеговна; 660185; Челябинск; пр. 8 Марта, 812
offal; 26; seitan; gentrify; (968)893-05-02; Вишнякова Жанна; 382837; Самара; площадь Западная, 335
typewriter; 1; flexitarian; poutine; (941)553-76-68; Денис Никитич Дьячков; 410712; Пенза; ул. Майская, 776
tacos; 13; pug; beard; (932)398-28-17; Королев Вячеслав; 546578; Сочи; проспект Новая, 313
vegan; 12; stumptown; semiotics; (978)985-08-03; Суворов Станислав Егорович; 996704; Саратов; пл. Березовая, 899
keffiyeh; 78; health; ugh; (926)460-12-37; Сорокин Егор; 561334; Курск; площадь Луговая, 736
freegan; 25; listicle; health; (926)783-26-03; Наталья Денисовна Данилова; 601107; Тверь; улица Южная, 882
crucifix; 43; readymade; locavore; (911)700-76-38; Лука Борисович Потапов; 376596; Ульяновск; проспект Совхозная, 670
pickled; 25; banjo; church-key; (915)533-68-92; Шестакова Анфиса Максимовна; 640904; Челябинск; пл. Школьная, 623
fingerstache; 54; PBR&B; plaid; (945)744-52-23; Яковлев Макар Валентинович; 475801; Махачкала; площадь Чкалова, 689
kombucha; 20; kombucha; chillwave; (971)801-81-14; Данилов Георгий Лаврентьевич; 430272; Чебоксары; Кооперативная площадь, 851
polaroid; 68; schlitz; gentrify; (978)334-91-12; Лапин Семён Александрович; 614447; Белгород; Коммунальная ул., 810
yr; 36; vinyl; vinegar; (970)233-71-13; Куликов Максим Лаврентьевич; 537923; Волгоград; площадь Лермонтова, 549
vinegar; 8; squid; letterpress; (935)547-18-87; Геннадий Сорокин; 219817; Магнитогорск; Ломоносова пр., 174
sartorial; 22; everyday; etsy; (972)148-19-22; Трофимов Иван Леонидович; 556312; Ижевск; пр. Красная, 102
neutra; 55; pitchfork; ramps; (962)446-86-18; Римма Семенова; 482930; Белгород; Цветочная ул., 979
locavore; 92; church-key; neutra; (996)207-57-03; Денис Ефремов; 502935; Краснодар; Трактовая проспект, 312
brunch; 50; hammock; Yuccie; (960)732-62-72; Крылова Валентина Григорьевна; 737291; Белгород; Березовая площадь, 531
umami; 61; actually; gentrify; (957)485-33-14; Галкина Лариса Сергеевна; 276097; Москва; пр. Лермонтова, 735
blog; 78; stumptown; heirloom; (966)998-10-53; Михеев Никита; 555991; Краснодар; Комарова проспект, 989
hoodie; 26; drinking; selfies; (940)160-02-86; Анастасия Крылова; 508861; Новокузнецк; улица Школьный, 650
+1; 65; brunch; pabst; (947)505-28-61; Мясников Ярослав Витальевич; 947284; Воронеж; Первомайская пл., 981
normcore; 70; lumbersexual; gentrify; (945)932-90-40; София Дмитриева; 651429; Иваново; Пролетарская пр., 233
distillery; 1; church-key; microdosing; (959)663-68-84; Антон Самойлов; 218858; Краснодар; Островского пр., 180
ramps; 8; gastropub; XOXO; (958)675-85-51; Белоусова Мария Егоровна; 670136; Чебоксары; улица Чапаева, 496
90's; 18; taxidermy; waistcoat; (971)005-37-96; Лебедев Юрий; 862082; Уфа; Коммунальная пр., 661
Godard; 17; salvia; master; (929)982-08-42; Потапов Василий; 744235; Сочи; Кооперативная площадь, 885
church-key; 36; meditation; YOLO; (991)642-53-14; Князев Эдуард; 875541; Махачкала; пр. Заводская, 618
polaroid; 18; celiac; fingerstache; (949)016-28-09; Аксенова Екатерина; 471561; Тула; проспект Озерная, 206
fingerstache; 55; lo-fi; try-hard; (946)697-82-89; Виталий Германович Белов; 707973; Владивосток; площадь Степная, 615
Yuccie; 93; goth; sartorial; (984)516-30-44; Яковлев Ярослав; 369107; Волгоград; Дзержинского ул., 834
beard; 30; occupy; poutine; (941)337-86-81; Осипов Александр Валентинович; 131955; Нижний Новгород; ул. Мира, 468
seitan; 42; irony; lomo; (980)744-70-34; Валентин Кабанов; 287270; Тюмень; ул. Шоссейная, 409
franzen; 7; occupy; normcore; (989)752-78-61; Суворова Анна; 724386; Оренбург; пл. Лермонтова, 574
lumbersexual; 75; offal; fixie; (971)260-24-67; Леонид Панов; 294244; Казань; Клубная пр., 548
scenester; 4; scenester; shoreditch; (992)455-05-26; Никонова Екатерина Станиславовна; 201325; Кемерово; проспект 40 лет Победы, 314
artisan; 36; roof; chartreuse; (914)128-99-54; Тетерин Вячеслав; 461151; Ульяновск; Степная проспект, 910
tousled; 4; synth; umami; (994)466-27-67; Зинаида Степановна Некрасова; 486524; Краснодар; ул. речень улиц, 106
narwhal; 20; kinfolk; brunch; (997)563-39-86; Ирина Тихонова; 762092; Ульяновск; Цветочная улица, 254
williamsburg; 25; aesthetic; Godard; (952)526-39-17; Михаил Игнатьевич Ершов; 431131; Иваново; улица Садовый, 937
aesthetic; 50; typewriter; franzen; (920)834-36-10; Силин Альберт; 546753; Воронеж; Садовый проспект, 825
freegan; 9; skateboard; pitchfork; (925)982-45-75; Осипова Кира Степановна; 768621; Магнитогорск; Маяковского пр., 113
portland; 76; portland; pitchfork; (924)386-79-72; Исакова Валентина Семёновна; 624002; Красноярск; пр. Горная, 777
cred; 98; taxidermy; distillery; (977)600-18-16; Матвеев Валентин Арсеньевич; 939388; Курск; Дорожная пл., 735
chillwave; 96; actually; plaid; (936)547-79-77; Олег Кулагин; 709395; Ярославль; проспект Подгорная, 513
sartorial; 48; church-key; salvia; (935)585-92-54; Овчинникова Антонина; 300870; Барнаул; улица Садовая, 430
flannel; 72; 8-bit; butcher; (984)342-27-39; Бобылев Александр; 536446; Ставрополь; ул. Маяковского, 427
occupy; 96; chartreuse; tousled; (912)102-90-02; Арина Якушева; 652679; Саратов; проспект Совхозная, 145
